Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2020-04-01,89,77,83,1.1,0,18,T,0,0
2020-04-02,88,77,82.5,1,0,18,0,0,0
2020-04-03,89,77,81,-1,0,17,0.09,0,0
2020-04-04,89,73,81,-0.1,0,17,T,0,0
2020-04-05,85,75,80,-2.1,0,15,0.66,0,0
2020-04-06,88,77,82.5,0.4,0,18,0.02,0,0
2020-04-07,88,76,82,-0.2,0,17,T,0,0
2020-04-08,89,78,83.5,1.3,0,19,T,0,0
2020-04-09,87,77,82,-0.3,0,17,0.05,0,0
2020-04-10,88,79,83.5,1.2,0,19,0,0,0
2020-04-11,89,78,83.5,1.1,0,19,0,0,0
2020-04-12,89,77,83,0.6,0,18,0.03,0,0
2020-04-13,88,74,81,-1.4,0,16,0,0,0
2020-04-14,90,74,82,-0.5,0,17,0,0,0
2020-04-15,91,77,84,1.5,0,19,0,0,0
2020-04-16,89,76,82.5,-0.1,0,18,T,0,0
2020-04-17,90,77,83.5,0.9,0,19,0.11,0,0
2020-04-18,91,77,84,1.4,0,19,0.17,0,0
2020-04-19,90,77,83,0.3,0,18,0.09,0,0
2020-04-20,89,79,84,1.3,0,19,0.13,0,0
2020-04-21,89,77,83,0.3,0,18,0.03,0,0
2020-04-22,91,80,85.5,2.7,0,21,0,0,0
2020-04-23,90,78,84,1.2,0,19,0.04,0,0
2020-04-24,90,81,85.5,2.7,0,21,0,0,0
2020-04-25,90,77,83.5,0.7,0,19,0.26,0,0
2020-04-26,90,78,84,1.1,0,19,0.74,0,0
2020-04-27,89,79,84,1.1,0,19,0.02,0,0
2020-04-28,90,81,85.5,2.6,0,21,0,0,0
2020-04-29,90,81,86.5,3.1,0,21,0.03,0,0
2020-04-30,90,82,86,3.1,0,21,1,0,0
