Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth,Year,Month,Day
2020-01-01,30.0,24.444444444444443,26.944444444444443,-0.6,0,16,0.0,0,0.0,2020,1,1
2020-01-02,29.444444444444443,24.444444444444443,26.944444444444443,-0.6,0,16,0.7619999999999999,0,0.0,2020,1,2
2020-01-03,30.0,23.88888888888889,26.944444444444443,-0.5,0,16,2.794,0,0.0,2020,1,3
2020-01-04,30.0,23.88888888888889,26.944444444444443,-0.5,0,16,0.508,0,0.0,2020,1,4
2020-01-05,31.11111111111111,23.88888888888889,27.5,0.5,0,17,0.0,0,0.0,2020,1,5
2020-01-06,31.11111111111111,23.333333333333332,27.22222222222222,0.1,0,16,1.5239999999999998,0,0.0,2020,1,6
2020-01-07,30.0,23.88888888888889,26.944444444444443,-0.4,0,16,0.0,0,0.0,2020,1,7
2020-01-08,30.0,23.88888888888889,26.944444444444443,-0.3,0,16,0.0,0,0.0,2020,1,8
2020-01-09,30.555555555555557,25.0,27.77777777777778,1.2,0,17,6.35,0,0.0,2020,1,9
2020-01-10,30.555555555555557,25.0,27.77777777777778,1.2,0,17,1.778,0,0.0,2020,1,10
2020-01-11,29.444444444444443,25.0,27.22222222222222,0.3,0,16,1.778,0,0.0,2020,1,11
2020-01-12,28.88888888888889,24.444444444444443,26.666666666666668,-0.7,0,15,5.08,0,0.0,2020,1,12
2020-01-13,29.444444444444443,24.444444444444443,26.944444444444443,-0.2,0,16,1.27,0,0.0,2020,1,13
2020-01-14,30.0,22.77777777777778,26.38888888888889,-1.1,0,15,0.508,0,0.0,2020,1,14
2020-01-15,28.333333333333332,22.22222222222222,25.27777777777778,-3.1,0,13,1.778,0,0.0,2020,1,15
2020-01-16,30.555555555555557,23.88888888888889,27.22222222222222,0.4,0,16,0.254,0,0.0,2020,1,16
2020-01-17,30.555555555555557,22.77777777777778,26.666666666666668,-0.6,0,15,0.7619999999999999,0,0.0,2020,1,17
2020-01-18,30.0,22.77777777777778,26.38888888888889,-1.0,0,15,1.778,0,0.0,2020,1,18
2020-01-19,29.444444444444443,23.88888888888889,26.666666666666668,-0.5,0,15,5.334,0,0.0,2020,1,19
2020-01-20,30.555555555555557,23.88888888888889,27.22222222222222,0.5,0,16,0.0,0,0.0,2020,1,20
2020-01-21,30.555555555555557,23.88888888888889,27.22222222222222,0.5,0,16,6.095999999999999,0,0.0,2020,1,21
2020-01-22,28.333333333333332,23.88888888888889,26.11111111111111,-1.5,0,14,6.604,0,0.0,2020,1,22
2020-01-23,29.444444444444443,24.444444444444443,26.944444444444443,0.1,0,16,3.556,0,0.0,2020,1,23
2020-01-24,30.555555555555557,23.88888888888889,27.22222222222222,0.6,0,16,0.0,0,0.0,2020,1,24
2020-01-25,30.0,24.444444444444443,27.22222222222222,0.6,0,16,0.0,0,0.0,2020,1,25
2020-01-26,28.88888888888889,23.88888888888889,26.38888888888889,-0.9,0,15,6.858,0,0.0,2020,1,26
2020-01-27,29.444444444444443,23.88888888888889,26.666666666666668,-0.4,0,15,6.35,0,0.0,2020,1,27
2020-01-28,29.444444444444443,24.444444444444443,26.944444444444443,0.1,0,16,2.54,0,0.0,2020,1,28
2020-01-29,28.88888888888889,25.0,26.944444444444443,0.1,0,16,7.112,0,0.0,2020,1,29
2020-01-30,28.88888888888889,25.0,26.944444444444443,0.1,0,16,3.8099999999999996,0,0.0,2020,1,30
2020-01-31,30.0,25.0,27.5,1.1,0,17,0.7619999999999999,0,0.0,2020,1,31
2020-02-01,27.22222222222222,23.88888888888889,25.555555555555557,-2.4,0,13,19.812,0,0.0,2020,2,1
2020-02-02,27.22222222222222,23.88888888888889,25.555555555555557,-2.4,0,13,42.672,0,0.0,2020,2,2
2020-02-03,27.22222222222222,23.88888888888889,25.555555555555557,-2.4,0,13,6.604,0,0.0,2020,2,3
2020-02-04,28.88888888888889,25.0,26.944444444444443,0.1,0,16,7.874,0,0.0,2020,2,4
2020-02-05,28.88888888888889,25.0,26.944444444444443,-0.4,0,15,0.508,0,0.0,2020,2,5
2020-02-06,29.444444444444443,24.444444444444443,26.944444444444443,0.1,0,16,0.0,0,0.0,2020,2,6
2020-02-07,30.555555555555557,23.88888888888889,27.22222222222222,0.6,0,16,0.0,0,0.0,2020,2,7
2020-02-08,30.0,23.88888888888889,26.944444444444443,0.1,0,16,0.0,0,0.0,2020,2,8
2020-02-09,29.444444444444443,23.88888888888889,26.666666666666668,-0.4,0,15,0.254,0,0.0,2020,2,9
2020-02-10,29.444444444444443,23.333333333333332,26.38888888888889,-0.9,0,15,0.0,0,0.0,2020,2,10
2020-02-11,30.0,23.88888888888889,26.944444444444443,0.1,0,16,2.2859999999999996,0,0.0,2020,2,11
2020-02-12,29.444444444444443,23.88888888888889,26.666666666666668,-0.4,0,15,0.0,0,0.0,2020,2,12
2020-02-13,30.0,23.333333333333332,26.666666666666668,-0.5,0,15,0.508,0,0.0,2020,2,13
2020-02-14,29.444444444444443,22.22222222222222,25.833333333333332,-2.0,0,14,1.27,0,0.0,2020,2,14
2020-02-15,30.0,23.333333333333332,26.666666666666668,-0.5,0,15,1.778,0,0.0,2020,2,15
2020-02-16,30.0,25.0,27.5,1.0,0,17,0.0,0,0.0,2020,2,16
2020-02-17,29.444444444444443,24.444444444444443,26.944444444444443,0.0,0,16,0.0,0,0.0,2020,2,17
2020-02-18,30.555555555555557,23.88888888888889,27.22222222222222,0.5,0,16,0.0,0,0.0,2020,2,18
2020-02-19,30.555555555555557,22.77777777777778,26.666666666666668,-0.5,0,15,0.7619999999999999,0,0.0,2020,2,19
2020-02-20,30.0,23.88888888888889,26.944444444444443,-0.1,0,16,0.0,0,0.0,2020,2,20
2020-02-21,29.444444444444443,22.77777777777778,26.11111111111111,-1.6,0,14,1.27,0,0.0,2020,2,21
2020-02-22,31.11111111111111,25.555555555555557,28.333333333333332,2.4,0,18,0.0,0,0.0,2020,2,22
2020-02-23,30.555555555555557,24.444444444444443,27.5,0.9,0,17,1.27,0,0.0,2020,2,23
2020-02-24,30.555555555555557,23.88888888888889,27.22222222222222,0.4,0,16,0.508,0,0.0,2020,2,24
2020-02-25,29.444444444444443,23.88888888888889,26.666666666666668,-0.7,0,15,8.889999999999999,0,0.0,2020,2,25
2020-02-26,30.0,25.0,27.5,0.8,0,17,0.0,0,0.0,2020,2,26
2020-02-27,30.555555555555557,23.88888888888889,27.22222222222222,0.8,0,17,0.0,0,0.0,2020,2,27
2020-02-28,30.555555555555557,23.333333333333332,26.944444444444443,-0.2,0,16,0.0,0,0.0,2020,2,28
2020-02-29,30.555555555555557,24.444444444444443,27.5,0.8,0,17,0.0,0,0.0,2020,2,29
2020-03-01,31.11111111111111,25.0,28.055555555555557,1.8,0,18,0.7619999999999999,0,0.0,2020,3,1
2020-03-02,31.11111111111111,24.444444444444443,27.77777777777778,1.7,0,18,8.382,0,0.0,2020,3,2
2020-03-03,30.555555555555557,26.11111111111111,28.333333333333332,2.2,0,18,0.0,0,0.0,2020,3,3
2020-03-04,31.11111111111111,25.555555555555557,28.333333333333332,2.2,0,18,0.0,0,0.0,2020,3,4
2020-03-05,30.0,25.0,27.5,0.6,0,17,0.0,0,0.0,2020,3,5
2020-03-06,31.11111111111111,25.0,28.055555555555557,1.6,0,18,0.0,0,0.0,2020,3,6
2020-03-07,31.11111111111111,23.88888888888889,27.5,0.6,0,17,0.0,0,0.0,2020,3,7
2020-03-08,31.11111111111111,22.77777777777778,26.944444444444443,-0.4,0,16,0.0,0,0.0,2020,3,8
2020-03-09,30.555555555555557,23.333333333333332,26.944444444444443,-0.5,0,16,0.0,0,0.0,2020,3,9
2020-03-10,30.555555555555557,23.333333333333332,26.944444444444443,-0.5,0,16,0.0,0,0.0,2020,3,10
2020-03-11,32.22222222222222,23.333333333333332,27.77777777777778,1.0,0,17,0.0,0,0.0,2020,3,11
2020-03-12,31.666666666666668,23.333333333333332,27.5,0.4,0,17,0.254,0,0.0,2020,3,12
2020-03-13,31.11111111111111,24.444444444444443,27.77777777777778,0.9,0,17,1.5239999999999998,0,0.0,2020,3,13
2020-03-14,31.11111111111111,23.88888888888889,27.5,0.4,0,17,0.508,0,0.0,2020,3,14
2020-03-15,31.666666666666668,23.88888888888889,27.77777777777778,0.8,0,17,0.0,0,0.0,2020,3,15
2020-03-16,31.666666666666668,22.77777777777778,27.22222222222222,-0.2,0,16,0.254,0,0.0,2020,3,16
2020-03-17,31.11111111111111,23.88888888888889,27.5,0.2,0,17,0.0,0,0.0,2020,3,17
